Date,Close,TMA,ATR,low_var,high_var,color,Open,High,Low,LN_return
1980-06-20,114.06,103.12912672,1.7295418153836883,0.9982101178513318,0.001789882148668502,blue,114.06,114.9,113.12,-0.005590769596419346
1980-06-23,114.51,103.15897472000002,1.7395647246145043,0.9984072874916324,0.001592712508367939,blue,114.51,115.28,113.35,0.0035933618522558416
1980-06-24,115.14,103.18892079999999,1.7520864883837788,0.997901599690645,0.0020984003093554105,blue,115.14,115.75,113.76,0.005142455977777643
1980-06-25,116.72,103.21896624,1.7794821639645904,0.996539065018783,0.0034609349812174833,blue,116.72,117.37,115.07,0.013284957122304653
1980-06-26,116.19,103.24908592000001,1.8105080557663613,0.9969905734075444,0.003009426592456005,blue,116.19,117.98,115.58,-0.004895289864360945
1980-06-27,116.0,103.27930704,1.8164826529780433,0.9964012816874501,0.003598718312550306,blue,116.0,116.93,115.0,-0.001980758933006665
1980-06-30,114.24,103.30960736000002,1.8221585203291415,0.9937640724171012,0.006235927582899304,blue,114.24,116.93,115.0,-0.015632860359681974
1980-07-01,114.93,103.33999312000002,1.8265505943126843,0.9951608436050554,0.0048391563949451225,blue,114.93,115.45,113.54,0.005677580944811266
1980-07-02,115.68,103.37044879999999,1.83922306459705,0.9951687830481255,0.004831216951875182,blue,115.68,116.44,114.36,0.00616034318516027
1980-07-03,117.46,103.40098064,1.8627619113671976,0.9939434459478226,0.006056554052178084,blue,117.46,117.8,115.49,0.014925923839375962
1980-07-07,118.29,103.43161072,1.8641238157988376,0.9960811567402275,0.00391884325977314,blue,118.29,118.85,116.96,0.006697218618727031
1980-07-08,117.84,103.46237104,1.8729176250088961,0.9970992008532464,0.0029007991467542003,blue,117.84,119.11,117.07,-0.0041556322478742925
1980-07-09,117.98,103.49329743999999,1.9002717437584515,0.9969505146248577,0.0030494853751428267,blue,117.98,119.52,117.1,0.000843178575975597
1980-07-10,116.95,103.52437072000001,1.9147581565705287,0.9951114646401668,0.004888535359833999,blue,116.95,118.57,116.38,-0.00911279338929009
1980-07-11,117.84,103.55561168,1.9235202487420018,0.9929116835444421,0.007088316455558597,blue,117.84,118.38,116.29,0.007237111279633216
