Date, Open, High, Low, Close,LN_Return
11/8/85,193.72,193.97,192.59,193.72,0.005694481
11/7/85,192.62,192.87,192.25,192.62,-0.000726556
11/6/85,192.76,193.01,191.88,192.76,0.002025291
11/5/85,192.37,192.37,191,192.37,0.005839128
11/4/85,191.25,191.88,190.75,191.25,-0.001462982
11/1/85,191.53,191.53,189.41,191.53,0.0089682
10/31/85,189.82,190.94,189.44,189.82,-0.001316171
10/30/85,190.07,190.07,189.19,190.07,0.004429219
10/29/85,189.23,189.73,187.85,189.23,0.007798655
10/28/85,187.76,187.76,187.01,187.76,0.001279045
10/25/85,187.52,188.4,187.4,187.52,-0.0052125
10/24/85,188.5,189.38,188.5,188.5,-0.003125085
10/23/85,189.09,189.09,188.09,189.09,0.005568386
10/22/85,188.04,188.54,187.04,188.04,0.005760016
10/21/85,186.96,187.21,186.84,186.96,-0.000427807
10/18/85,187.04,188.04,186.91,187.04,-0.003309317
10/17/85,187.66,188.41,187.53,187.66,-0.001703759
10/16/85,187.98,187.98,186.1,187.98,0.010158885
10/15/85,186.08,187.08,185.71,186.08,-0.001557256
10/14/85,186.37,186.37,184.37,186.37,0.011277605
10/11/85,184.28,184.28,182.66,184.28,0.008173096
10/10/85,182.78,182.78,182.16,182.78,0.001423488
10/9/85,182.52,183.27,181.9,182.52,0.00356761
10/8/85,181.87,182.25,181.25,181.87,0
10/7/85,181.87,183.12,181.37,181.87,-0.00739547
10/4/85,183.22,184.34,182.72,183.22,-0.006202751
10/3/85,184.36,185.11,183.61,184.36,0.001628576
10/2/85,184.06,185.94,184.06,184.06,-0.00547234
10/1/85,185.07,185.07,182.07,185.07,0.016287981
09/30/85,182.08,182.08,181.33,182.08,0.004348192
09/26/85,181.29,181.29,179.54,181.29,0.003481147
09/25/85,180.66,182.53,180.66,180.66,-0.010790679
09/24/85,182.62,184.25,182.5,182.62,-0.009157373
09/23/85,184.3,184.55,182.05,184.3,0.01228349
09/20/85,182.05,183.93,182.05,182.05,-0.007333658
09/19/85,183.39,183.39,181.76,183.39,0.009203023
09/18/85,181.71,181.71,180.84,181.71,0.001928003
09/17/85,181.36,182.86,180.86,181.36,-0.008346194
09/16/85,182.88,182.88,182.5,182.88,-0.000164029
09/13/85,182.91,184.16,182.16,182.91,-0.004255326
9/12/85,183.69,185.19,183.56,183.69,-0.00726842
9/11/85,185.03,186.78,184.91,185.03,-0.01005574
9/10/85,186.9,188.15,186.53,186.9,-0.007197152
9/9/85,188.25,188.75,188,188.25,5.31223E-05
9/6/85,188.24,188.37,187.37,188.24,0.005166319
9/5/85,187.27,187.52,186.9,187.27,-0.000533846
9/4/85,187.37,187.87,187,187.37,-0.002877853
9/3/85,187.91,188.53,187.41,187.91,-0.0038243
08/30/85,188.63,189.13,188,188.63,-0.001589152
08/29/85,188.93,188.93,188.43,188.93,0.000529437
08/28/85,188.83,188.83,187.96,188.83,0.003873403
08/27/85,188.1,188.1,187.35,188.1,0.004208738
08/26/85,187.31,187.44,186.56,187.31,0.000747704
08/23/85,187.17,187.29,186.67,187.17,-0.001014605
08/22/85,187.36,189.11,187.24,187.36,-0.009561318
08/21/85,189.16,189.16,188.16,189.16,0.005725814
08/20/85,188.08,188.21,186.46,188.08,0.009079804
08/19/85,186.38,186.64,186.39,186.38,0.001503437
08/16/85,186.1,186.1,186.1,186.1,-0.006213862
08/15/85,187.26,187.63,186.63,187.26,-0.000800705
08/14/85,187.41,187.78,187.41,187.41,0.000587121
08/13/85,187.3,188.05,186.55,187.3,-0.001760329
8/12/85,187.63,188.25,187.5,187.63,-0.003670705
8/9/85,188.32,188.94,188.19,188.32,-0.003339786
8/8/85,188.95,188.95,187.7,188.95,0.006744045
8/7/85,187.68,187.93,187.43,187.68,-0.001331168
8/6/85,187.93,190.68,187.93,187.93,-0.014212364
8/5/85,190.62,191.37,190,190.62,-0.004501447
8/2/85,191.48,192.1,191.35,191.48,-0.00328476
8/1/85,192.11,192.11,190.99,192.11,0.006213633
07/31/85,190.92,191.29,190.04,190.92,0.005198909
07/30/85,189.93,189.93,189.31,189.93,0.001738993
07/29/85,189.6,192.35,189.6,189.6,-0.014659948
07/26/85,192.4,192.78,191.65,192.4,0.001768715
07/25/85,192.06,192.19,191.19,192.06,0.002502347
07/24/85,191.58,192.46,190.71,191.58,-0.005050384
